,name,rating,date,heading,review,rating_num,date_dt,heading_len,review_len,heading_clean,review_clean
0,Dane C.,5.0 star rating,12/22/2021,"transformative, honestly. was skeptical at first, but i'm absolutely sold.","as an athlete who is two months into an ag1 subscription, i thought ag1 would just be a simple and tasty way to get the right balance of nutrients and vitamins my body needs, but it's provided so much more than that. i'm feeling more energized, recovered, and ""regular"" than ever. extremely happy with ag1 and will continue to subscribe and drink fo...read moreread more about  as an athlete who is two months intor the foreseeable future. read lessread less about  as an athlete who is two months into",5,12/22/2021,10,91,"['transformative', 'honestly', 'skeptical', 'first', 'im', 'absolutely', 'sold']","['athlete', 'two', 'month', 'ag1', 'subscription', 'thought', 'ag1', 'would', 'simple', 'tasty', 'way', 'get', 'right', 'balance', 'nutrient', 'vitamin', 'body', 'need', 'provided', 'much', 'im', 'feeling', 'energized', 'recovered', 'regular', 'ever', 'extremely', 'happy', 'ag1', 'continue', 'subscribe', 'drink', 'foread', 'moreread', 'athlete', 'two', 'month', 'intor', 'foreseeable', 'future', 'read', 'lessread', 'le', 'athlete', 'two', 'month']"
1,Julie M.,5.0 star rating,12/22/2021,my thoughts,"i love athletic greens, especially after 90 minutes of hot bikram yoga. there is nothing more satisfying than knowing that i am replenishing and nourishing my body after doing an intense sport.",5,12/22/2021,2,32,['thought'],"['love', 'especially', '90', 'minute', 'hot', 'bikram', 'yoga', 'nothing', 'satisfying', 'knowing', 'replenishing', 'nourishing', 'body', 'intense', 'sport']"
2,Nolan I.,5.0 star rating,12/22/2021,rectified issue in timely manner,good job on that,5,12/22/2021,5,4,"['rectified', 'issue', 'timely', 'manner']","['good', 'job']"
3,Edward S.,5.0 star rating,12/22/2021,athletic greens,love you’re guys stuff. service is fantastic shows up every month like clockwork,5,12/22/2021,2,13,[],"['love', 'guy', 'stuff', 'service', 'fantastic', 'show', 'every', 'month', 'like', 'clockwork']"
4,Rosario M.,5.0 star rating,12/22/2021,great,"i feel better, sleep better, focus better, overall i get great human performance out of it… it’s changing my life for the better. thank you,",5,12/22/2021,1,25,['great'],"['feel', 'better', 'sleep', 'better', 'focus', 'better', 'overall', 'get', 'great', 'human', 'performance', 'changing', 'life', 'better', 'thank']"
5,karen t.,5.0 star rating,12/22/2021,best tasting greens,"greens that actually taste good! great quality, great ingredients.",5,12/22/2021,3,9,"['best', 'tasting']","['actually', 'taste', 'good', 'great', 'quality', 'great', 'ingredient']"
6,Tracy H.,5.0 star rating,12/22/2021,love it!,i have tried other brands but i love athletic greens. it gives me energy and i am regular for the first time ever!,5,12/22/2021,2,23,['love'],"['tried', 'brand', 'love', 'give', 'energy', 'regular', 'first', 'time', 'ever']"
7,Tyler C.,3.0 star rating,12/22/2021,good,"i do like ag1 however the amount of single use plastic is insane!! the price point is very high as well, hope to one day see that drop a little. but happy overall!",3,12/22/2021,1,33,['good'],"['like', 'ag1', 'however', 'amount', 'single', 'use', 'plastic', 'insane', 'price', 'point', 'high', 'well', 'hope', 'one', 'day', 'see', 'drop', 'little', 'happy', 'overall']"
8,OLIVER S.,2.0 star rating,12/22/2021,nice product but too expensive,cost value relationship not good. $100 per month - ouch. plus make the opening of the shaker bottle a little wider so you can easily pour the scoop in without spilling.   won’t buy again.,2,12/22/2021,5,36,"['nice', 'product', 'expensive']","['cost', 'value', 'relationship', 'good', '100', 'per', 'month', 'ouch', 'plus', 'make', 'opening', 'shaker', 'bottle', 'little', 'wider', 'easily', 'pour', 'scoop', 'without', 'spilling', 'buy']"
9,Zorawar B.,5.0 star rating,12/22/2021,amazing product,amazing product,5,12/22/2021,2,2,"['amazing', 'product']","['amazing', 'product']"
10,Cameron B.,5.0 star rating,12/22/2021,it's the best,it's the best,5,12/22/2021,3,3,['best'],['best']
11,John S.,5.0 star rating,12/22/2021,love changing,would not start my day without it.,5,12/22/2021,2,7,"['love', 'changing']","['would', 'start', 'day', 'without']"
12,Nancy E.,5.0 star rating,12/22/2021,love love love,love love love,5,12/22/2021,3,3,"['love', 'love', 'love']","['love', 'love', 'love']"
13,Heather H.,5.0 star rating,12/22/2021,the best supplement i've tried!,this is my new morning ritual.,5,12/22/2021,5,6,"['best', 'supplement', 'ive', 'tried']","['new', 'morning', 'ritual']"
14,Larry V.,5.0 star rating,12/22/2021,athletic greens,i love the test and use it mostly everyday.,5,12/22/2021,2,9,[],"['love', 'test', 'use', 'mostly', 'everyday']"
15,Nick F.,2.0 star rating,12/22/2021,dude the stevia is the,dude the stevia is the worst. eep,2,12/22/2021,5,7,"['dude', 'stevia']","['dude', 'stevia', 'worst', 'eep']"
16,Janay C.,4.0 star rating,12/22/2021,love the product. dislike the taste.,"i have used this for a couple of months. i like the idea of all of the nutrients being absorbed into my system.  however, i struggle with the taste. i’m now only using it every other day but that can’t be a long term solution. the problem is mine and i’m not sure how i’ll handle it.",4,12/22/2021,6,58,"['love', 'product', 'dislike', 'taste']","['used', 'couple', 'month', 'like', 'idea', 'nutrient', 'absorbed', 'system', 'however', 'struggle', 'taste', 'im', 'using', 'every', 'day', 'cant', 'long', 'term', 'solution', 'problem', 'mine', 'im', 'sure', 'ill', 'handle']"
17,Chris S.,2.0 star rating,12/22/2021,great but,i enjoyed using ag but it is just way too expensive! almost $1200 for one year,2,12/22/2021,2,16,['great'],"['enjoyed', 'using', 'ag', 'way', 'expensive', 'almost', '1200', 'one', 'year']"
18,Kim K.,4.0 star rating,12/22/2021,i am starting my second,i am starting my second month. i am loving the taste but i am able to get it down first thing in the morning. so far things are going okay!,4,12/22/2021,5,30,"['starting', 'second']","['starting', 'second', 'month', 'loving', 'taste', 'able', 'get', 'first', 'thing', 'morning', 'far', 'thing', 'going', 'okay']"
19,Micallef A.,5.0 star rating,12/22/2021,very happy with the product!,very happy with the product!,5,12/22/2021,5,5,"['happy', 'product']","['happy', 'product']"
20,Jason M.,5.0 star rating,12/22/2021,great product. i been getting,great product. i been getting alot of energy every morning ever since i've been taking this. i use to be tired when i first wake up for work but when i satted taking this i notice a big difference in my day. i don't get tired during the day l i use too and i feel energetic and fully awake. i'm definitely going get more and try more products from t...read moreread more about review stating great product. i been gettinghis company. i highly recommend this to everyone. you won't regret it. read lessread less about review stating great product. i been getting,5,12/22/2021,5,103,"['great', 'product', 'getting']","['great', 'product', 'getting', 'alot', 'energy', 'every', 'morning', 'ever', 'since', 'ive', 'taking', 'use', 'tired', 'first', 'wake', 'work', 'satted', 'taking', 'notice', 'big', 'difference', 'day', 'get', 'tired', 'day', 'l', 'use', 'feel', 'energetic', 'fully', 'awake', 'im', 'definitely', 'going', 'get', 'try', 'product', 'tread', 'moreread', 'review', 'stating', 'great', 'product', 'gettinghis', 'company', 'highly', 'recommend', 'everyone', 'regret', 'read', 'lessread', 'le', 'review', 'stating', 'great', 'product', 'getting']"
21,Brenda B.,5.0 star rating,12/22/2021,five stars for agi😁,five stars for agi😁,5,12/22/2021,4,4,"['five', 'star', 'agi']","['five', 'star', 'agi']"
22,Roth N.,3.0 star rating,12/22/2021,"probably good, tastes bad, expensive","pros: based on the ingredients listed, athletic greens is nutritious. the all-in-one formulation makes it easy for busy people.   cons: it doesn’t taste good. it’s expensive. resourceful people can replicate the formula more cheaply using less well marketed brands.  bottom line: how much is convenience worth to you?",3,12/22/2021,5,51,"['probably', 'good', 'taste', 'bad', 'expensive']","['pro', 'based', 'ingredient', 'listed', 'nutritious', 'allinone', 'formulation', 'make', 'easy', 'busy', 'people', 'con', 'taste', 'good', 'expensive', 'resourceful', 'people', 'replicate', 'formula', 'cheaply', 'using', 'le', 'well', 'marketed', 'brand', 'bottom', 'line', 'much', 'convenience', 'worth']"
23,Erica 4.,5.0 star rating,12/22/2021,morning start,i really like starting my day with ag i feel like my skin and hair are healthier and i’m doing a good thing each day with so many vitamins and minerals.,5,12/22/2021,2,31,"['morning', 'start']","['really', 'like', 'starting', 'day', 'ag', 'feel', 'like', 'skin', 'hair', 'healthier', 'im', 'good', 'thing', 'day', 'many', 'vitamin', 'mineral']"
